filename,width,height,class,xmin,ymin,xmax,ymax
cpu (1).png,64,64,cpu,9,22,56,40
cpu (10).png,64,64,cpu,7,13,57,49
cpu (11).png,64,64,cpu,5,10,58,52
cpu (12).png,64,64,cpu,7,13,53,48
cpu (13).png,64,64,cpu,5,12,61,52
cpu (14).png,64,64,cpu,3,8,60,54
cpu (15).png,64,64,cpu,6,13,57,50
cpu (16).png,64,64,cpu,3,8,58,57
cpu (17).png,64,64,cpu,2,14,62,48
cpu (18).png,64,64,cpu,3,6,59,55
cpu (19).png,64,64,cpu,6,18,57,46
cpu (2).png,64,64,cpu,5,10,61,52
cpu (20).png,64,64,cpu,1,9,62,53
cpu (21).png,64,64,cpu,5,15,58,50
cpu (22).png,64,64,cpu,8,18,56,51
cpu (23).png,64,64,cpu,5,11,58,52
cpu (24).png,64,64,cpu,3,13,61,49
cpu (25).png,64,64,cpu,1,8,62,52
cpu (26).png,64,64,cpu,3,2,61,60
cpu (27).png,64,64,cpu,8,13,58,53
cpu (28).png,64,64,cpu,9,4,53,57
cpu (29).png,64,64,cpu,1,5,61,55
cpu (3).png,64,64,cpu,5,12,59,52
cpu (30).png,64,64,cpu,6,17,57,47
cpu (31).png,64,64,cpu,1,2,64,61
cpu (32).png,64,64,cpu,5,4,59,57
cpu (33).png,64,64,cpu,7,15,56,47
cpu (34).png,64,64,cpu,4,17,58,47
cpu (35).png,64,64,cpu,8,10,57,53
cpu (36).png,64,64,cpu,9,12,52,53
cpu (37).png,64,64,cpu,1,6,63,58
cpu (38).png,64,64,cpu,6,13,58,51
cpu (39).png,64,64,cpu,10,17,55,46
cpu (4).png,64,64,cpu,5,9,59,52
cpu (40).png,64,64,cpu,10,18,54,45
cpu (41).png,64,64,cpu,2,13,61,56
cpu (42).png,64,64,cpu,12,3,53,61
cpu (43).png,64,64,cpu,2,10,62,53
cpu (44).png,64,64,cpu,4,16,59,49
cpu (45).png,64,64,cpu,10,14,53,50
cpu (46).png,64,64,cpu,5,22,58,41
cpu (47).png,64,64,cpu,3,8,62,54
cpu (5).png,64,64,cpu,4,9,61,52
cpu (6).png,64,64,cpu,5,4,59,59
cpu (7).png,64,64,cpu,6,18,58,46
cpu (8).png,64,64,cpu,2,12,62,50
cpu (9).png,64,64,cpu,7,17,55,46
gpu (1).png,64,64,gpu,4,13,62,44
gpu (10).png,64,64,gpu,3,6,62,56
gpu (11).png,64,64,gpu,1,12,64,50
gpu (12).png,64,64,gpu,1,12,64,52
gpu (13).png,64,64,gpu,1,4,64,59
gpu (14).png,64,64,gpu,1,15,64,51
gpu (15).png,64,64,gpu,6,16,59,50
gpu (16).png,64,64,gpu,6,13,57,50
gpu (17).png,64,64,gpu,1,14,64,45
gpu (18).png,64,64,gpu,7,15,56,47
gpu (19).png,64,64,gpu,5,11,61,50
gpu (2).png,64,64,gpu,11,13,53,49
gpu (20).png,64,64,gpu,4,10,58,52
gpu (21).png,64,64,gpu,1,19,63,40
gpu (22).png,64,64,gpu,1,8,64,53
gpu (23).png,64,64,gpu,6,20,59,43
gpu (24).png,64,64,gpu,11,14,53,45
gpu (25).png,64,64,gpu,6,18,62,46
gpu (26).png,64,64,gpu,2,14,64,48
gpu (27).png,64,64,gpu,14,15,52,50
gpu (28).png,64,64,gpu,3,8,61,53
gpu (29).png,64,64,gpu,4,13,63,45
gpu (3).png,64,64,gpu,4,7,63,55
gpu (30).png,64,64,gpu,2,13,62,51
gpu (31).png,64,64,gpu,4,15,62,46
gpu (32).png,64,64,gpu,10,15,54,50
gpu (33).png,64,64,gpu,4,8,59,54
gpu (34).png,64,64,gpu,4,17,61,40
gpu (35).png,64,64,gpu,3,9,61,55
gpu (36).png,64,64,gpu,5,4,60,58
gpu (37).png,64,64,gpu,2,19,63,44
gpu (38).png,64,64,gpu,3,17,62,43
gpu (39).png,64,64,gpu,2,18,62,48
gpu (4).png,64,64,gpu,1,21,64,42
gpu (40).png,64,64,gpu,2,15,63,47
gpu (41).png,64,64,gpu,10,18,53,45
gpu (42).png,64,64,gpu,8,18,54,49
gpu (43).png,64,64,gpu,3,12,62,55
gpu (44).png,64,64,gpu,1,13,64,51
gpu (45).png,64,64,gpu,5,9,60,51
gpu (46).png,64,64,gpu,1,3,64,60
gpu (47).png,64,64,gpu,7,14,58,51
gpu (5).png,64,64,gpu,4,18,61,48
gpu (6).png,64,64,gpu,1,9,64,53
gpu (7).png,64,64,gpu,4,13,61,51
gpu (8).png,64,64,gpu,1,12,64,51
gpu (9).png,64,64,gpu,3,20,62,43
hdd (1).png,64,64,hd,1,9,64,54
hdd (10).png,64,64,hd,18,2,49,60
hdd (11).png,64,64,hd,7,14,57,50
hdd (12).png,64,64,hd,1,8,62,56
hdd (13).png,64,64,hd,4,18,54,45
hdd (14).png,64,64,hd,3,9,62,53
hdd (15).png,64,64,hd,13,2,49,59
hdd (16).png,64,64,hd,4,15,60,48
hdd (17).png,64,64,hd,1,17,62,45
hdd (18).png,64,64,hd,1,9,64,54
hdd (19).png,64,64,hd,5,14,58,50
hdd (2).png,64,64,hd,1,10,64,54
hdd (20).png,64,64,hd,2,10,63,49
hdd (21).png,64,64,hd,5,13,59,52
hdd (22).png,64,64,hd,7,16,57,47
hdd (23).png,64,64,hd,1,7,64,55
hdd (24).png,64,64,hd,11,1,51,63
hdd (25).png,64,64,hd,15,7,48,57
hdd (26).png,64,64,hd,9,7,53,55
hdd (27).png,64,64,hd,12,4,49,59
hdd (28).png,64,64,hd,1,11,64,52
hdd (29).png,64,64,hd,5,3,60,61
hdd (3).png,64,64,hd,3,8,61,56
hdd (30).png,64,64,hd,4,4,59,59
hdd (31).png,64,64,hd,3,15,60,48
hdd (32).png,64,64,hd,3,6,58,57
hdd (33).png,64,64,hd,4,17,60,46
hdd (34).png,64,64,hd,3,9,62,57
hdd (35).png,64,64,hd,3,8,60,55
hdd (36).png,64,64,hd,5,12,60,51
hdd (37).png,64,64,hd,9,19,60,46
hdd (38).png,64,64,hd,1,1,63,62
hdd (39).png,64,64,hd,1,11,64,53
hdd (4).png,64,64,hd,1,5,58,56
hdd (40).png,64,64,hd,11,1,52,64
hdd (41).png,64,64,hd,1,5,62,57
hdd (42).png,64,64,hd,2,1,62,64
hdd (43).png,64,64,hd,1,7,64,57
hdd (44).png,64,64,hd,2,13,61,53
hdd (45).png,64,64,hd,12,3,49,60
hdd (46).png,64,64,hd,5,8,57,55
hdd (47).png,64,64,hd,1,5,64,58
hdd (5).png,64,64,hd,1,3,64,60
hdd (6).png,64,64,hd,2,8,63,54
hdd (7).png,64,64,hd,15,1,49,63
hdd (8).png,64,64,hd,1,1,64,62
hdd (9).png,64,64,hd,5,10,59,53
ssd-m2 (1).png,64,64,ssd-m2,6,14,60,49
ssd-m2 (10).png,64,64,ssd-m2,3,18,61,46
ssd-m2 (11).png,64,64,ssd-m2,6,14,57,49
ssd-m2 (12).png,64,64,ssd-m2,3,17,60,47
ssd-m2 (13).png,64,64,ssd-m2,12,9,53,55
ssd-m2 (14).png,64,64,ssd-m2,1,14,64,51
ssd-m2 (15).png,64,64,ssd-m2,10,23,54,42
ssd-m2 (16).png,64,64,ssd-m2,1,19,64,45
ssd-m2 (17).png,64,64,ssd-m2,6,18,58,44
ssd-m2 (18).png,64,64,ssd-m2,6,4,58,61
ssd-m2 (19).png,64,64,ssd-m2,4,18,61,47
ssd-m2 (2).png,64,64,ssd-m2,1,10,63,55
ssd-m2 (20).png,64,64,ssd-m2,5,10,59,51
ssd-m2 (21).png,64,64,ssd-m2,4,11,61,52
ssd-m2 (22).png,64,64,ssd-m2,7,19,56,43
ssd-m2 (23).png,64,64,ssd-m2,2,17,60,47
ssd-m2 (24).png,64,64,ssd-m2,1,11,63,52
ssd-m2 (25).png,64,64,ssd-m2,12,12,56,52
ssd-m2 (26).png,64,64,ssd-m2,1,13,63,51
ssd-m2 (27).png,64,64,ssd-m2,4,13,59,50
ssd-m2 (28).png,64,64,ssd-m2,5,16,60,47
ssd-m2 (29).png,64,64,ssd-m2,1,6,63,48
ssd-m2 (3).png,64,64,ssd-m2,1,10,64,53
ssd-m2 (30).png,64,64,ssd-m2,10,18,55,46
ssd-m2 (31).png,64,64,ssd-m2,19,3,48,61
ssd-m2 (32).png,64,64,ssd-m2,3,23,61,35
ssd-m2 (33).png,64,64,ssd-m2,10,21,55,41
ssd-m2 (34).png,64,64,ssd-m2,3,18,60,45
ssd-m2 (35).png,64,64,ssd-m2,13,20,51,42
